settlement_name,year,WIRI_ts,wiri_inv_ts,wiri_ops_ts,wiri_cui_ts
Nairobi,2020,40.61486148036836,59.705882352941174,0,68.72037914691943
Nairobi,2021,71.28024248270218,76.5909090909091,63.333333333333336,72.31638418079096
